bathrooms,land_size_m2,building_age,electricity_power,district,location,description,city,certificate,url,bedrooms,property_condition,price_in_rp,building_size_m2,title,carports,floor_count
2,50 m²,,2200 Watt,BSD,"BSD, Tangerang","Tanakayu, Cluster Jiva, BSD.

Lokasi strategsi, dekat dengan fasilitas - fasilitas umum:
- Dekat Aeon Mall
- The Breeze & ICE BSD
- ITC BSD
- Pasar Modern BSD
- BSD Junction
- Teras Kota
- Atmajaya
- Prasetya Mulya

Akses jalan mudah:
- Tol BSD
- Stasiun Rawa Buntu

Hubungi kami untuk info lebih lanjut. Kami siap membantu sehingga Aman, Mudah & Untung.

*CAN",Tangerang,PPJB,https://www.rumah123.com/properti/tangerang/hor39249682/,3,Bagus,Rp 65 Juta/tahun,70 m²,Disewakan Rumah Baru Fully Furnished DI Tanakayu BSD,1,2
3,144 m²,,Lainnya,Semarang Tengah,"Semarang Tengah, Semarang","Disewakan Rumah Lokasi Bagus (semi Furnished) Graha Padma

LT: 144
LB: 134
KT: 4
KM: 3
listrik: 4400w
Air: PAM (tandon atas bawah)
Hadap: Selatan
SHM
PAM
4 AC
Double Carport
Kitchenset
Waterheater

Harga
124 JT/th",Semarang,SHM,https://www.rumah123.com/properti/semarang/hor39228424/,4,Bagus,Rp 125 Juta/tahun,135 m²,Disewakan Rumah Lokasi Bagus (semi Furnished) Graha Padma,1,2
1,120 m²,,1300 Watt,Tidar,"Tidar, Malang","Rumah Jual Sewa Lokasi dalam Perumahan Kawasan Tenang dan Asri Bebas Banjir, Dekat dengan Pusat Perbelanjaan, Kuliner Elpico, Kuliner Kawi, Kampus Ma Chung, MCP

Spesifikasi :
Sertifikat : SHM 
Luas Tanah : 120 m2
Luas Bangunan : 70 m2
1 Lantai
Kamar Tidur : 2
Kamar Mandi : 1
Kamar Pembantu : 1
Kamar Mandi Pembantu : 1
Carport
Listrik : 1300W
Air : PAM
Hadap : Tenggara


Harga : 1,5 M
Harga Sewa : 38 Juta/Tahun

AR-Grnland",Malang,SHM,https://www.rumah123.com/properti/malang/hor39339954/,2,Bagus,Rp 38 Juta/tahun,70 m²,Rumah Kondisi Terawat Dekat Kampus Tidar Malang,1,1
3,98 m²,,3500 Watt,Cakung,"Cakung, Jakarta Timur","Sewa 


Cluster : Asya Semayang 
Luas tanah : 98 m2 (7x14) 
Luas bangunan : 115 m2 
Kamar tidur : 3+1 
Kamar Mandi : 3+1
Sertifikat : PPJB 
Kondisi : badan, kosong, standarts 
Harga : 75 Juta (Nego)
*DI


Fasilitas dalam cluster : 
kolam renang, children
playground, basket ball court,
yoga lawn, barbeque area dan taman,



Fasilitas Area :
Aeon Mall,   
IKEA , 
Shell
Food Garden
Perkantoran
Rs Mayapada   ,  
Global Mandiri School 
Bright Scope Islamic School
Sis ( Singapore International School ) 
JPS ( John Paul School)



Akses Jalan Toll Cakung Timur
JGC - Jorr-Dalkot
Jgc. Toll - Ancol - Priok - Bandara Soeta
Jgc. Jalan Tembus  Tipar  - Kelapa Gading
Jgc. Jalan Tembus Jalan Raya Bekasi
Jgc. Toll Pulogebang - Sunter - Semanan 
JGC - Cakung- Cibitung- Cikarang



Professionals Real Estate Agent JGC
More Info :
LARRIE
ERA Matrix 
Hubungi WA : 0817-888-xxx",Jakarta Timur,Lainnya,https://www.rumah123.com/properti/jakarta-timur/hor19369728/,3,Bagus,Rp 75 Juta/tahun,115 m²,Rumah Siap Huni Luas 7×14 Type 3kt Cluster Semayang Asya Jgc,2,3
2,100 m²,,Lainnya,Tembalang,"Tembalang, Semarang","Sewa rumah bulusan
lt 100
lb 100
kt 4 (2 uk 3x3 , 2 uk 2x3)
carport 1 mbl
kosongan
listrik 1300
fasilitas :
security 24 jam",Semarang,SHM,https://www.rumah123.com/properti/semarang/hor39415590/,4,Bagus,Rp 35 Juta/tahun,100 m²,Disewakan Rumah Lokasi Strategis Bulusan Tembalang (dekat Undip),1,2
4,144 m²,,2200 Watt,BSD City,"BSD City, Tangerang","Disewakan Rumah BSD Blizfield 

Ready Huni 
Luas Tanah : 9 x 16
Luas Bangunan : 177 m2
2 Lantai + Attic Room
Kamar Tidur : 4 + 1
Kamar Mandi : 4 + 1
Carport 2 Mobil
Hadap Timur Laut
PPJB
Ada kitchen set, water heater, ac 

Harga sewa : 170jt/th kosongan 
Atau : 200jt/th Nego : *Ada kitchen set, water heater, ac",Tangerang,Lainnya,https://www.rumah123.com/properti/tangerang/hor18993892/,4,Bagus,Rp 170 Juta/tahun,177 m²,Rumah Semi Furnish Siap Huni Di Blizfield Bsd Dekat Aeon Mal Bsd,1,2
3,145 m²,,Lainnya,Lippo Karawaci,"Lippo Karawaci, Tangerang",Lokasi rmh dekat hypermart lk utara,Tangerang,SHM,https://www.rumah123.com/properti/tangerang/hor38874722/,3,Bagus,Rp 120 Juta/tahun,180 m²,Disewakan Rmhlippo Karawaci.,1,2
3,72 m²,,2200 Watt,Balikpapan Utara,"Balikpapan Utara, Balikpapan","Rumah Disewa Balikpapan Rumah 2Lantai di HYLAND GRAND CITY (semi furnish)

Spesifikasi :
Luas bangunan : 84 m2
Luas tanah : 72 m2
Jumlah kamar tidur : 3
Jumlah kamar mandi : 3

Fasilitas :
- 3 tempat tidur (springbed)
- ⁠3 lemari
- ⁠3 AC
- ⁠meja makan
- ⁠tempat jemuran di balkon lt3 
- ⁠carport dgn kanopi
- ⁠sdh tersambung indihome
- ⁠air WTP lancar
- ⁠listrik 2200 watt
- ⁠filter air",Balikpapan,SHM,https://www.rumah123.com/properti/balikpapan/hor39452339/,3,,Rp 85 Juta/tahun,84 m²,RUMAH BAGUS 2 LANTAI SIAP HUNI GRAND CITY BALIKPAPAN,,1
4,112 m²,,Lainnya,Lebak Bulus,"Lebak Bulus, Jakarta Selatan","Lingkungan eksklusif aman, asri, bersih, lengkap dg fasilitas sport center",Jakarta Selatan,SHM,https://www.rumah123.com/properti/jakarta-selatan/hor39094495/,4,,Rp 180 Juta/tahun,220 m²,Rumah Di Sewakan Di Serenia Quantum Lebak Bulus,2,3
1,84 m²,,Lainnya,Podomoro Park Bandung,"Podomoro Park Bandung, Bandung","Disewakan Rumah Milenial Podomoro Park Padmagriya Siap Huni

LT 84 
LB 55
7x12 m
2 KT
1 KM
1 lt
SHM
Carpot 1, dan bisa parkir di depannya karena luas
Lebar jalan 8m kurang lebih
Hadap barat
Ac
Water heater
Hordeng
Dapur sudah dipindah kebelakang (sudah direnov)

Harga 48jt per th
yov",Bandung,SHM,https://www.rumah123.com/properti/bandung/hor39338225/,2,Bagus,Rp 48 Juta/tahun,55 m²,Disewakan Rumah Milenial Podomoro Park Padmagriya Siap Huni,1,1
