url,title,price_in_rp,district,city,bedrooms,bathrooms,land_size_m2,building_size_m2,certificate,electricity_power,property_condition,floor_count,description
https://www.rumah123.com/properti/jakarta-barat/hos11255421/#qid~ee7b0714-b8af-457d-8e16-f025e4b2e8e5,Hot Item Di Jakbar 5x25 Meruya Utara 2.25m,2200000000.0,Citraland,Jakarta Barat,3.0,3.0,125.0,140.0,SHM,2200.0,Baru,2.0,"Keamanan 24 jam, Playground, Wastafel, Tempat Jemuran,  Tempat Laundry"
https://www.rumah123.com/properti/jakarta-barat/hos11331713/#qid~db9474a4-9bc8-4b94-9e3e-32257b7b9fcb,Andre Tjhia Meruya Rumah Bangunan Baru Lebar Jalan 3 Mobil Lega Nego,2500000000.0,Citraland,Jakarta Barat,3.0,3.0,125.0,186.0,SHM,3500.0,Baru,3.0,"Keamanan 24 jam, Track Lari, Tempat Jemuran, Akses Parkir"
https://www.rumah123.com/properti/jakarta-barat/hos11259465/#qid~6d549e56-37b4-4dcb-b253-375543902dd7,Andre Tjhia Meruya Rumah Bagus Ukuran 10x25 Lokasi Premium Jarang Ada,2550000000.0,Bintaro,Jakarta Barat,3.0,4.0,250.0,340.0,SHM,2200.0,Baru,2.0,"Taman, Keamanan 24 jam, Akses Parkir,  Taman, Keamanan,  One Gate System, Track Lari, Tempat Jemuran,  Jogging Track"
https://www.rumah123.com/properti/jakarta-barat/hos11185930/#qid~8ba85171-8d56-4e8d-8bef-d93d19712d06,Andre Tjhia Meruya Luxurious House High Celling Fasad Sangat Istimewa,2300000000.0,Gading Serpong,Jakarta Barat,3.0,3.0,125.0,150.0,SHM,2200.0,Baru,2.0,Keamanan 24 jam
https://www.rumah123.com/properti/jakarta-barat/hos11185975/#qid~8ba85171-8d56-4e8d-8bef-d93d19712d06,Andre Tjhia Meruya Luxurious House High Celling Fasad Sangat Istimewa,2300000000.0,BSD,Jakarta Barat,3.0,3.0,125.0,150.0,SHM,2200.0,Baru,2.0,"Taman, Track Lari, Tempat Jemuran, Keamanan 24 jam"
https://www.rumah123.com/properti/jakarta-barat/hos11185956/#qid~8ba85171-8d56-4e8d-8bef-d93d19712d06,Andre Tjhia Meruya Luxurious House High Celling Fasad Sangat Istimewa,1550000000.0,BSD,Jakarta Barat,3.0,3.0,60.0,85.0,SHM,2200.0,Baru,2.0,Keamanan 24 jam
https://www.rumah123.com/properti/jakarta-barat/hos11186006/#qid~8ba85171-8d56-4e8d-8bef-d93d19712d06,Andre Tjhia Meruya 5x16 Luxurious House High Celling Fasad Sangat Istimewa,1850000000.0,BSD,Jakarta Barat,3.0,3.0,80.0,120.0,SHM,2200.0,Baru,2.0,"Taman, Tempat Jemuran, Keamanan, Keamanan 24 jam"
https://www.rumah123.com/properti/jakarta-barat/hos11186069/#qid~8ba85171-8d56-4e8d-8bef-d93d19712d06,Andre Tjhia Meruya Luxurious House Sangat Istimewa Lokasi Premium Nego,2150000000.0,BSD,Jakarta Barat,3.0,3.0,125.0,150.0,SHM,2200.0,Baru,2.0,"Taman, Tempat Jemuran, Keamanan, Keamanan 24 jam"
https://www.rumah123.com/properti/jakarta-barat/hos11186006/#qid~e62dfd6b-4855-4875-88ac-6bc0def498d9,Andre Tjhia Meruya 5x16 Luxurious House High Celling Fasad Sangat Istimewa,1850000000.0,BSD,Jakarta Barat,3.0,3.0,80.0,120.0,SHM,2200.0,Baru,2.0,"Taman, Tempat Jemuran, Keamanan, Keamanan 24 jam"
https://www.rumah123.com/properti/jakarta-barat/hos11186069/#qid~e62dfd6b-4855-4875-88ac-6bc0def498d9,Andre Tjhia Meruya Luxurious House Sangat Istimewa Lokasi Premium Nego,2150000000.0,Gading Serpong,Jakarta Barat,3.0,3.0,125.0,150.0,SHM,2200.0,Baru,2.0,"Taman, Tempat Jemuran, Keamanan, Keamanan 24 jam"
https://www.rumah123.com/properti/jakarta-barat/hos11163746/#qid~086514d5-e689-450e-8758-145bd17c509f,Andre Tjhia Rumah Baru di Meruya Lebar Jln 4 Mobil Lega Lokasi Premium,2300000000.0,Gading Serpong,Jakarta Barat,3.0,3.0,125.0,150.0,SHM,2200.0,Baru,2.0,"Taman, One Gate System, Tempat Jemuran, Keamanan 24 jam"
https://www.rumah123.com/properti/jakarta-barat/hos11163701/#qid~086514d5-e689-450e-8758-145bd17c509f,Andre Tjhia Rumah Baru di Meruya Lebar Jln 3 Mobil Lega Dkt Jalan Raya,2300000000.0,BSD,Jakarta Barat,3.0,3.0,125.0,150.0,SHM,2200.0,Baru,2.0,"Taman, Tempat Jemuran, Wastafel"
https://www.rumah123.com/properti/jakarta-barat/hos9903505/#qid~312c0c06-73d6-4044-b686-e696770eb327,ANDRE TJHIA Meruya Tanah 10x25 Lokasi Bagus Sangat Murah Masi Nego,3200000000.0,Pamulang,Jakarta Barat,4.0,3.0,250.0,239.0,SHM,4400.0,Baru,2.0,"Taman, Ac, AC,  Keamanan, Track Lari,  Jogging Track"
https://www.rumah123.com/properti/jakarta-barat/hos11075661/#qid~980b7c69-dce8-47fb-be84-b3f285b22af8,Termurah 5x25 Meruya Utara 1.95m,1950000000.0,Tangerang Kota,Jakarta Barat,3.0,3.0,125.0,149.0,SHM,2200.0,Baru,2.0,"Taman, Playground, Keamanan 24 jam,  Tempat Laundry"
https://www.rumah123.com/properti/jakarta-timur/hos8642770/#qid~7a8ea572-c6d8-4a20-9030-cfd60d8b46b9,Rumah murah 2 lantai di utan kayu jakarta timur,408000000.0,BSD,Jakarta Timur,2.0,1.0,18.0,35.0,SHM,2200.0,Baru,2.0,"Taman, Keamanan 24 jam,  One Gate System, Keamanan, CCTV,  Taman"
https://www.rumah123.com/properti/jakarta-timur/hos9775807/#qid~1608da07-ed77-470e-a22b-0840f104913d,RUMAH 2 LANTAI MURAH MERIAH MODEL MINIMALIS  MONCOKERTO UTAN KAYU JAKARTA TIMUR,495000000.0,Serpong,Jakarta Timur,2.0,1.0,17.0,33.0,SHM,2200.0,Baru,2.0,Keamanan
https://www.rumah123.com/properti/jakarta-timur/hos11036690/#qid~2ba9bb82-7d72-4151-86e5-bdbccc534e79,Rumah Murah 2 lantai di Utan Kayu di Jalan Kamboja Utan Kayu,418000000.0,Serpong,Jakarta Timur,2.0,1.0,18.0,35.0,SHM,2200.0,Baru,2.0,"Keamanan, Keamanan 24 jam, CCTV"
https://www.rumah123.com/properti/jakarta-timur/hos9775807/#qid~5eb8788e-8cee-4939-a752-2f362be89329,RUMAH 2 LANTAI MURAH MERIAH MODEL MINIMALIS  MONCOKERTO UTAN KAYU JAKARTA TIMUR,495000000.0,Bintaro,Jakarta Timur,2.0,1.0,17.0,33.0,SHM,2200.0,Baru,2.0,Keamanan
https://www.rumah123.com/properti/jakarta-timur/hos10519925/#qid~10bfcda7-c73d-4bf5-837d-742d2b6a808f,Rumah di  murah minimalis modern,330000000.0,Pamulang,Jakarta Timur,1.0,1.0,15.0,28.0,SHM,2200.0,Baru,2.0,Keamanan
https://www.rumah123.com/properti/jakarta-timur/hos11036690/#qid~ef263a63-0a07-40b0-bb43-ca991917c667,Rumah Murah 2 lantai di Utan Kayu di Jalan Kamboja Utan Kayu,418000000.0,Jimbaran,Jakarta Timur,2.0,1.0,18.0,35.0,SHM,2200.0,Baru,2.0,"CCTV, Keamanan"
https://www.rumah123.com/properti/jakarta-timur/hos10024422/#qid~ef263a63-0a07-40b0-bb43-ca991917c667,Rumah Murah Indent Kamboja Hanya 10 Menit Ke Rs Persahabatan,418000000.0,Sentul City,Jakarta Timur,2.0,2.0,18.0,33.0,SHM,2200.0,Baru,2.0,"Taman, One Gate System, AC, Keamanan"
https://www.rumah123.com/properti/jakarta-barat/hos11270785/#qid~6ae299a9-a659-44a9-b6d8-e8a4a618330a,Rumah di Green Lake City termurah ukuran 4x15 cluster Amerika,1400000000.0,Pancoran Mas,Jakarta Barat,2.0,2.0,60.0,87.0,HGB,4400.0,Bagus,2.0,"Taman,  Kolam Renang,  Jogging Track, Jalur Telepon,  Keamanan, Keamanan 24 jam, AC, Ac, Track Lari,  Taman"
https://www.rumah123.com/properti/jakarta-barat/hos10864900/#qid~99812524-8f47-4db6-bf39-5ce0a95d8b67,Axel Jamin Termurah Se Planet Dp Sebelum Diambil Yang Lain Green Lake City Australia 8x15 2 Lantai SHM,2900000000.0,Batam Centre,Jakarta Barat,3.0,3.0,120.0,120.0,SHM,4400.0,0,2.0,Keamanan
